IHSA
"Chicago,Public,Catholic,,,,,,,,,,,"
"TEAM,Northern,McLake,Crystal Lake,CL,80,ALL,,,,,,,"
"TEAM,Northern,McLake,Maine,MNE,90,BC,,,,,,,"
"TEAM,Northern,McLake,Stevenson,STE,75,GAL,,,,,,,"
"TEAM,Northern,McLake,New Trier,NT,55,LW,,,,,,,"
"TEAM,Northern,McLake,Lake Zurich,LZ,70,FOR,,,,,,,"
"TEAM,Northern,Grant,Newman Central Catholic,NCC,75,PR,,,,,,,"
"TEAM,Northern,Grant,Stillman Valley,SV,70,CG,,,,,,,"
"TEAM,Northern,Grant,Alleman,ALL,75,CL,,,,,,,"
"TEAM,Northern,Grant,Boylan Catholic,BC,70,MNE,,,,,,,"
"TEAM,Northern,Grant,Galena,GAL,60,STE,,,,,,,"
"TEAM,Northern,Grant,Lena Winslow,LW,65,NT,,,,,,,"
"TEAM,Northern,Grant,Forreston,FOR,55,LZ,,,,,,,"
"# Central,,,,,,,,,,,,,"
"TEAM,Central,Des Plaines Valley,Morris,MOR,80,SHG,,,,,,,"
"TEAM,Central,Des Plaines Valley,Crete Monee,CM,85,RCH,,,,,,,"
"TEAM,Central,Des Plaines Valley,Richards,RIC,75,SPR,,,,,,,"
"TEAM,Central,Des Plaines Valley,Bolingbrook,BBK,70,SVH,,,,,,,"
"TEAM,Central,Des Plaines Valley,Lincoln Way,LW,95,MET,,,,,,,"
"TEAM,Central,Des Plaines Valley,Plainfield,PLN,60,LER,,,,,,,"
"TEAM,Central,Des Plaines Valley,Joliet,JOL,50,CC,,,,,,,"
"TEAM,Central,Sangamon Valley,Sacred Heart Griffin,SHG,85,MOR,,,,,,,"
"TEAM,Central,Sangamon Valley,Rochester,RCH,90,CM,,,,,,,"
"TEAM,Central,Sangamon Valley,Springfield,SPR,70,RIC,,,,,,,"
"TEAM,Central,Sangamon Valley,Spring Valley Hall,SVH,60,BBK,,,,,,,"
"TEAM,Central,Sangamon Valley,Metamora,MET,75,LW,,,,,,,"
"TEAM,Central,Sangamon Valley,LeRoy,LER,60,PLN,,,,,,,"
"TEAM,Central,Sangamon Valley,Coal City,CC,55,JOL,,,,,,,"
"# Southern,,,,,,,,,,,,,"
"TEAM,Southern,Mississippi Valley,East St. Louis,ESL,90,MF,,,,,,,"
"TEAM,Southern,Mississippi Valley,Belleville,BEL,75,TUS,,,,,,,"
"TEAM,Southern,Mississippi Valley,Edwardsville,EDW,70,MAM,,,,,,,"
"TEAM,Southern,Mississippi Valley,Althoff Catholic,AC,60,STJ,,,,,,,"
"TEAM,Southern,Mississippi Valley,DuQuoin,DUQ,55,TOL,,,,,,,"
"TEAM,Southern,Mississippi Valley,Carthage,CAR,65,BCC,,,,,,,"
"TEAM,Southern,Mississippi Valley,Aledo,ALE,65,BLM,,,,,,,"
"TEAM,Southern,Eastern Prairie,Maroa Forsyth,MF,70,ESL,,,,,,,"
"TEAM,Southern,Eastern Prairie,Tuscola,TUS,60,BEL,,,,,,,"
"TEAM,Southern,Eastern Prairie,Moweaqua Central A&M,MAM,60,EDW,,,,,,,"
"TEAM,Southern,Eastern Prairie,St. Joseph-Ogden,STJ,70,AC,,,,,,,"
"TEAM,Southern,Eastern Prairie,Tolono Unity,TOL,70,DUQ,,,,,,,"
"TEAM,Southern,Eastern Prairie,Bloomington Central Catholic,BCC,65,CAR,,,,,,,"
"TEAM,Southern,Eastern Prairie,Bloomington,BLM,65,ALE,,,,,,,"
"END_FILE,,,,,,,,,,,,,"
